CREDIT_CODE|AMOUNT|CURRENCY|PAYMENT_DATE
028710239873|100.00|SOLES|2020-03-10
030710170199|200.00|SOLES|2020-03-02
030710110682|1500.00|SOLES|2020-03-16
031710209540|250.00|SOLES|2020-03-11
032710187033|1100.00|SOLES|2020-03-30
030710586790|4.00|SOLES|2020-03-11
033710317554|195.00|SOLES|2020-03-11
031710221982|200.00|SOLES|2020-03-10
032310495430|100.00|SOLES|2020-03-04
032310542389|100.00|SOLES|2020-03-02
036710353586|86.00|SOLES|2020-03-06
032710028690|100.00|SOLES|2020-03-30
032710105290|400.00|SOLES|2020-03-03
038710014226|200.00|SOLES|2020-03-02
034710077693|181.00|SOLES|2020-03-04
035710259439|544.20|SOLES|2020-03-09
033710179509|501.00|SOLES|2020-03-02
037710105604|470.80|SOLES|2020-03-11
037710033079|225.00|SOLES|2020-03-06
042710543168|350.00|SOLES|2020-03-05
046710039846|223.10|SOLES|2020-03-06
047710410581|900.00|SOLES|2020-03-05
047710410581|134.20|SOLES|2020-03-06
048710716092|248.00|SOLES|2020-03-31
055711092134|2069.50|SOLES|2020-03-03
057710115478|670.00|SOLES|2020-03-16
040710546702|1212.80|SOLES|2020-03-06
059710099934|3500.00|SOLES|2020-03-31
059710182565|437.09|SOLES|2020-03-23
042710301179|495.00|SOLES|2020-03-31
042710569205|527.70|SOLES|2020-03-06
055710796016|1323.70|SOLES|2020-03-03
057710302852|574.80|SOLES|2020-03-03
057710359498|1100.00|SOLES|2020-03-19
059710031770|412.20|SOLES|2020-03-03
062310372917|30.00|SOLES|2020-03-16
063710268226|780.40|SOLES|2020-03-17
048710636100|400.56|SOLES|2020-03-05
067710497438|317.10|SOLES|2020-03-06
062310520945|119.70|SOLES|2020-03-17
051710298020|284.38|SOLES|2020-03-05
062410008585|50.00|SOLES|2020-03-30
063710170000|57.03|SOLES|2020-03-06
067710157669|24.50|SOLES|2020-03-05
057710449869|436.00|SOLES|2020-03-10
057710481276|504.00|SOLES|2020-03-13
059710043304|233.00|SOLES|2020-03-02
081710318221|425.20|SOLES|2020-03-06
081710419276|150.00|SOLES|2020-03-31
063710218577|52.41|SOLES|2020-03-02
082310464704|20.00|SOLES|2020-03-30
082410058521|300.00|SOLES|2020-03-02
082410068405|500.00|SOLES|2020-03-04
066710094187|27.45|SOLES|2020-03-25
067710491027|200.00|SOLES|2020-03-05
067710504621|123.00|SOLES|2020-03-11
067710572305|198.25|SOLES|2020-03-12
083710143096|354.10|SOLES|2020-03-11
084710264783|200.00|SOLES|2020-03-31
089710267579|494.00|SOLES|2020-03-02
090710025314|1088.00|SOLES|2020-03-05
082710309848|608.00|SOLES|2020-03-04
082710489921|511.00|SOLES|2020-03-23
082710489921|516.20|SOLES|2020-03-02
095710055526|305.00|SOLES|2020-03-12
095710058942|555.00|SOLES|2020-03-05
098710063086|68.25|SOLES|2020-03-26
098710063086|180.00|SOLES|2020-03-13
098710063086|160.00|SOLES|2020-03-14
082710530476|140.00|SOLES|2020-03-07
122310305976|100.00|SOLES|2020-03-09
084710035027|291.50|SOLES|2020-03-26
084710086194|1000.00|SOLES|2020-03-19
122310736030|100.00|SOLES|2020-03-02
092310819955|200.00|SOLES|2020-03-27
